  ◆  swag        unittest • sources
  Test-FormatSpacing_BeforeParenthesesControl  ok (122 us)
  Test-FormatSpacing_InsideBracesOfLiterals  ok (82 us)
  Test-FormatSpacing_FailClosesAFunctionTypeNotAnOperand  ok (74 us)
  Test-FormatStyle_PreserveNormalizesNothing  ok (99 us)
  Test-FormatStyle_DefaultOptionsArePreserve  ok (341 us)
  Test-FormatStyle_SwagIsTheCanonicalLayout  ok (359 us)
  Test-FormatStyle_SwagIntrinsicCallsStayStable  ok (535 us)
  Test-FormatStyle_SwagKeepsAccessModifiersWithTheirDeclarations  ok (155 us)
  Test-FormatStyle_SwagKeepsStorageAndAccessModifierOrders  ok (3 ms)
  Test-FormatStyle_SwagSeparatesAccessBlocks  ok (134 us)
  Test-FormatStyle_SwagLeavesLineEndingsAndColumnsAlone  ok (74 us)
  Test-FormatStyle_DescribeRendersEveryOption  ok (164 us)
  Test-FormatUsing_SortAscending  ok (141 us)
  Test-FormatUsing_SortCaseInsensitive  ok (95 us)
  Test-FormatUsing_BlankLineSplitsRuns  ok (81 us)
  Test-FormatUsing_Merge      ok (57 us)
  Test-FormatUsing_SortAndMerge  ok (59 us)
  Test-FormatWrap_BreaksAfterComma  ok (103 us)
  Test-FormatWrap_ForceSingleLineLists  ok (97 us)
  Test-FormatWrap_FormatterSelectsListLineMode  ok (155 us)
  Test-FormatWrap_SourceSelectsSingleLineLists  ok (96 us)
  Test-FormatWrap_SourceSelectsNestedSingleLineLists  ok (114 us)
  Test-FormatWrap_HangingIndentLists  ok (89 us)
  Test-FormatWrap_HangingAlignLists  ok (97 us)
  Test-FormatWrap_VerticalLists  ok (87 us)
  Test-FormatWrap_BlockLists  ok (90 us)
  Test-FormatWrap_ForceSingleLineLogicalExpressions  ok (100 us)
  Test-FormatWrap_SourceSelectsSingleLineLogicalExpressions  ok (90 us)
  Test-FormatWrap_LogicalOperatorsAfter  ok (86 us)
  Test-FormatWrap_LogicalOperatorsBefore  ok (82 us)
  Test-FormatWrap_LogicalOperandsOnePerLine  ok (84 us)
  Test-FormatWrap_LogicalHangingIndent  ok (79 us)
  Test-FormatWrap_LogicalOperandsPack  ok (80 us)
  Test-FormatWrap_FormatterSelectsLogicalExpressionLineMode  ok (105 us)
  Test-FormatWrap_NestedLogicalExpressions  ok (101 us)
  Test-FormatWrap_NormalizesAdversarialLists  ok (180 us)
  Test-FormatWrap_NormalizesAdversarialLogicalExpression  ok (107 us)
  Test-FormatWrap_AlignsMultilineArgumentContents  ok (157 us)
  Test-FormatWrap_ClosureCapturesStayInsideArgument  ok (224 us)
  Test-FormatWrap_NoWrapWhenDisabled  ok (101 us)
  Test-FormatWrap_BreakBeforeBinaryOperators  ok (72 us)
  Test-FormatWrap_BinPackLists  ok (95 us)
  Test-FormatWrap_BinPackParametersOnePerLine  ok (72 us)
  Test-FormatWrap_BinPackArgumentsOnePerLine  ok (86 us)
  Test-FormatWrap_NoColumnLimitNeverMovesAStatementBreak  ok (171 us)
  Test-FormatWrap_ColumnLimitBreaksHighestInTheExpression  ok (135 us)
  Test-FormatWrap_ColumnLimitAlignsNewOperandLinesInOnePass  ok (134 us)
  Test-FormatWrap_ColumnLimitBreaksAtTheLoosestOperator  ok (132 us)
  Test-FormatWrap_ColumnLimitKeepsOneIndentPerStatement  ok (103 us)
  Test-FormatWrap_ContinuationOutsideBracketsTakesCanonicalIndent  ok (83 us)
  Test-FormatWrap_ContinuationInsideBracketsKeepsRelativeIndent  ok (86 us)
  Test-FormatWrap_WrappedCaseValuesAlignUnderTheFirstValue  ok (128 us)
  Test-FormatWrap_SourceSelectsLiteralLayout  ok (133 us)
  Test-FormatWrap_HugTrailingTableArgument  ok (105 us)
  Test-FormatWrap_HugTrailingClosureArgument  ok (100 us)
  Test-FormatWrap_HugTrailingBlockLiteralItem  ok (119 us)
  Test-FormatWrap_HugSkipsEarlierMultilineArgument  ok (109 us)
  Test-JIT_Return42           ok (85 us)
  Test-JIT_RegAllocAvoidsFutureConcreteClobber  ok (49 us)
  Test-JIT_128BitStackCopy    ok (175 us)
  Test-JIT_PointerSpillRoundTrip  ok (84 us)
  Test-JIT_B32LoadAndZeroExtendKeepsUpperBitsClear  ok (57 us)
  Test-JIT_PackedIntegerOps   ok (43 us)
  Test-JIT_VecCodecOps        ok (147 us)
  Test-JIT_VecFloatOps        ok (48 us)
  Test-JIT_SlpVectorizedLanes  ok (833 us)
  Test-JIT_ConstantDivisionBaseline  ok (2 ms)
  Test-JIT_ConstantDivisionStrengthReduced  ok (7 ms)
  Test-JIT_PersistentRegPreservedAcrossCall  ok (71 us)
  Test-BranchSimplify_ErasesJumpToImmediateLabel  ok (47 us)
  Test-BranchSimplify_ThreadsJumpThroughEmptyBlock  ok (54 us)
  Test-BranchSimplify_FoldsKnownTrueBranch  ok (38 us)
  Test-BranchSimplify_FoldsKnownFalseBranch  ok (29 us)
  Test-BranchSimplify_FoldsKnownSignedLessBranch  ok (28 us)
  Test-BranchSimplify_FoldsKnownUnsignedBelowBranch  ok (27 us)
